,Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Trump,Clinton,Other,Undecided,Pollster URL,Source URL,Partisan,Affiliation,Question Text,Question Iteration
216,Rasmussen,2016-10-11,2016-10-13,2016-10-14T12:37:10Z,,Likely Voters - independent,IVR/Online,38.0,32.0,8.0,10.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-26173,http://www.rasmussenreports.com/platinum/political_tracking_crosstabs/october_2016/crosstabs_election_2016_white_house_watch_october_11_13_2016,Nonpartisan,None,"If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?",1
217,NBC/WSJ,2016-10-10,2016-10-13,2016-10-16T14:23:52Z,905.0,Likely Voters,Live Phone,37.0,48.0,5.0,3.0,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-26190,http://www.wsj.com/public/resources/documents/16991NBCWSJMiddleOctoberPoll.pdf,Nonpartisan,None,"If the next election for president were held today, with Donald Trump as the Republican candidate, Hillary Clinton as the Democratic candidate, Gary Johnson the Libertarian candidate, and Jill Stein the Green Party candidate for whom would you vote?",1
218,ABC/Post,2016-10-10,2016-10-13,2016-10-16T05:03:03Z,740.0,Likely Voters,Live Phone,43.0,47.0,2.0,3.0,http://elections.huffingtonpost.com/pollster/polls/abc-post-26184,http://apps.washingtonpost.com/g/page/politics/washington-post-abc-news-national-poll-oct-10-13-2016/2102/,Nonpartisan,None,,1
219,GWU/Battleground,2016-10-08,2016-10-13,2016-10-17T04:18:43Z,1000.0,Likely Voters,Live Phone,39.0,47.0,2.0,4.0,http://elections.huffingtonpost.com/pollster/polls/gwu-battleground-26193,https://mediarelations.gwu.edu/new-gw-battleground-poll-clinton-begins-pull-away-trump-and-voters-think-she’ll-win,Nonpartisan,None,,1
220,GWU/Battleground,2016-10-08,2016-10-13,2016-10-17T04:18:43Z,440.0,Likely Voters - Democrat,Live Phone,5.0,87.0,2.0,2.0,http://elections.huffingtonpost.com/pollster/polls/gwu-battleground-26193,https://mediarelations.gwu.edu/new-gw-battleground-poll-clinton-begins-pull-away-trump-and-voters-think-she’ll-win,Nonpartisan,None,,1
221,GWU/Battleground,2016-10-08,2016-10-13,2016-10-17T04:18:43Z,400.0,Likely Voters - Republican,Live Phone,81.0,7.0,0.0,3.0,http://elections.huffingtonpost.com/pollster/polls/gwu-battleground-26193,https://mediarelations.gwu.edu/new-gw-battleground-poll-clinton-begins-pull-away-trump-and-voters-think-she’ll-win,Nonpartisan,None,,1
222,GWU/Battleground,2016-10-08,2016-10-13,2016-10-17T04:18:43Z,160.0,Likely Voters - independent,Live Phone,31.0,33.0,7.0,13.0,http://elections.huffingtonpost.com/pollster/polls/gwu-battleground-26193,https://mediarelations.gwu.edu/new-gw-battleground-poll-clinton-begins-pull-away-trump-and-voters-think-she’ll-win,Nonpartisan,None,,1
223,FOX,2016-10-10,2016-10-12,2016-10-13T22:27:34Z,917.0,Likely Voters,Live Phone,38.0,45.0,4.0,6.0,http://elections.huffingtonpost.com/pollster/polls/fox-26165,http://www.foxnews.com/politics/interactive/2016/10/07/fox-news-poll-results-clinton-edges-trump-by-two-points-one-month-ahead/,Nonpartisan,None,,1
224,FOX,2016-10-10,2016-10-12,2016-10-13T22:27:34Z,,Likely Voters - Democrat,Live Phone,5.0,81.0,3.0,4.0,http://elections.huffingtonpost.com/pollster/polls/fox-26165,http://www.foxnews.com/politics/interactive/2016/10/07/fox-news-poll-results-clinton-edges-trump-by-two-points-one-month-ahead/,Nonpartisan,None,,1
225,FOX,2016-10-10,2016-10-12,2016-10-13T22:27:34Z,,Likely Voters - Republican,Live Phone,80.0,6.0,1.0,6.0,http://elections.huffingtonpost.com/pollster/polls/fox-26165,http://www.foxnews.com/politics/interactive/2016/10/07/fox-news-poll-results-clinton-edges-trump-by-two-points-one-month-ahead/,Nonpartisan,None,,1
226,FOX,2016-10-10,2016-10-12,2016-10-13T22:27:34Z,,Likely Voters - independent,Live Phone,35.0,35.0,13.0,9.0,http://elections.huffingtonpost.com/pollster/polls/fox-26165,http://www.foxnews.com/politics/interactive/2016/10/07/fox-news-poll-results-clinton-edges-trump-by-two-points-one-month-ahead/,Nonpartisan,None,,1
227,Insights West,2016-10-10,2016-10-11,2016-10-12T14:34:44Z,953.0,Likely Voters,Internet,37.0,42.0,5.0,10.0,http://elections.huffingtonpost.com/pollster/polls/insights-west-26144,http://www.insightswest.com/news/clinton-leads-trump-republicans-reject-changing-their-nominee/,Nonpartisan,None,"As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?",1
228,Insights West,2016-10-10,2016-10-11,2016-10-12T14:34:44Z,,Likely Voters - Democrat,Internet,5.0,87.0,0.0,6.0,http://elections.huffingtonpost.com/pollster/polls/insights-west-26144,http://www.insightswest.com/news/clinton-leads-trump-republicans-reject-changing-their-nominee/,Nonpartisan,None,"As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?",1
229,Insights West,2016-10-10,2016-10-11,2016-10-12T14:34:44Z,,Likely Voters - Republican,Internet,74.0,8.0,5.0,8.0,http://elections.huffingtonpost.com/pollster/polls/insights-west-26144,http://www.insightswest.com/news/clinton-leads-trump-republicans-reject-changing-their-nominee/,Nonpartisan,None,"As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?",1
230,Insights West,2016-10-10,2016-10-11,2016-10-12T14:34:44Z,,Likely Voters - independent,Internet,31.0,32.0,10.0,15.0,http://elections.huffingtonpost.com/pollster/polls/insights-west-26144,http://www.insightswest.com/news/clinton-leads-trump-republicans-reject-changing-their-nominee/,Nonpartisan,None,"As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?",1
231,Rasmussen,2016-10-09,2016-10-11,2016-10-12T12:39:57Z,1500.0,Likely Voters,IVR/Online,39.0,43.0,6.0,5.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-26140,http://www.rasmussenreports.com/platinum/political_tracking_crosstabs/october_2016/crosstabs_election_2016_white_house_watch_october_9_11_2016,Nonpartisan,None,"If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?",1
232,Politico/Morning Consult,2016-10-10,2016-10-10,2016-10-11T12:35:54Z,1757.0,Likely Voters,Internet,41.0,46.0,,13.0,http://elections.huffingtonpost.com/pollster/polls/politico-morning-consult-26084,https://morningconsult.com/2016/10/11/voters-say-clinton-won-debate-trumps-support-remains-stable/,Nonpartisan,None,,1
233,Politico/Morning Consult,2016-10-10,2016-10-10,2016-10-11T12:35:54Z,677.0,Likely Voters - Democrat,Internet,9.0,85.0,,6.0,http://elections.huffingtonpost.com/pollster/polls/politico-morning-consult-26084,https://morningconsult.com/2016/10/11/voters-say-clinton-won-debate-trumps-support-remains-stable/,Nonpartisan,None,,1
234,Politico/Morning Consult,2016-10-10,2016-10-10,2016-10-11T12:35:54Z,550.0,Likely Voters - Republican,Internet,83.0,9.0,,8.0,http://elections.huffingtonpost.com/pollster/polls/politico-morning-consult-26084,https://morningconsult.com/2016/10/11/voters-say-clinton-won-debate-trumps-support-remains-stable/,Nonpartisan,None,,1
235,Politico/Morning Consult,2016-10-10,2016-10-10,2016-10-11T12:35:54Z,529.0,Likely Voters - independent,Internet,38.0,36.0,,26.0,http://elections.huffingtonpost.com/pollster/polls/politico-morning-consult-26084,https://morningconsult.com/2016/10/11/voters-say-clinton-won-debate-trumps-support-remains-stable/,Nonpartisan,None,,1
236,Politico/Morning Consult,2016-10-10,2016-10-10,2016-10-11T12:35:54Z,1757.0,Likely Voters,Internet,37.0,42.0,3.0,7.0,http://elections.huffingtonpost.com/pollster/polls/politico-morning-consult-26084,https://morningconsult.com/2016/10/11/voters-say-clinton-won-debate-trumps-support-remains-stable/,Nonpartisan,None,,2
237,Politico/Morning Consult,2016-10-10,2016-10-10,2016-10-11T12:35:54Z,677.0,Likely Voters - Democrat,Internet,8.0,81.0,3.0,4.0,http://elections.huffingtonpost.com/pollster/polls/politico-morning-consult-26084,https://morningconsult.com/2016/10/11/voters-say-clinton-won-debate-trumps-support-remains-stable/,Nonpartisan,None,,2
238,Politico/Morning Consult,2016-10-10,2016-10-10,2016-10-11T12:35:54Z,550.0,Likely Voters - Republican,Internet,77.0,7.0,1.0,5.0,http://elections.huffingtonpost.com/pollster/polls/politico-morning-consult-26084,https://morningconsult.com/2016/10/11/voters-say-clinton-won-debate-trumps-support-remains-stable/,Nonpartisan,None,,2
239,Politico/Morning Consult,2016-10-10,2016-10-10,2016-10-11T12:35:54Z,529.0,Likely Voters - independent,Internet,34.0,29.0,6.0,14.0,http://elections.huffingtonpost.com/pollster/polls/politico-morning-consult-26084,https://morningconsult.com/2016/10/11/voters-say-clinton-won-debate-trumps-support-remains-stable/,Nonpartisan,None,,2
240,Lucid/The Times-Picayune,2016-10-08,2016-10-10,2016-10-26T19:00:32Z,543.0,Likely Voters,Internet,37.0,44.0,2.0,11.0,http://elections.huffingtonpost.com/pollster/polls/lucid-the-times-picayune-26466,https://luc.id/2016-presidential-tracker/,Nonpartisan,None,,1
241,Ipsos/Reuters,2016-10-06,2016-10-10,2016-10-12T13:30:59Z,2363.0,Likely Voters,Internet,37.0,44.0,9.0,10.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26141,http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=7405,Nonpartisan,None,"If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?",1
242,Ipsos/Reuters,2016-10-06,2016-10-10,2016-10-12T13:30:59Z,,Likely Voters - Democrat,Internet,9.0,79.0,5.0,6.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26141,http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=7405,Nonpartisan,None,"If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?",1
243,Ipsos/Reuters,2016-10-06,2016-10-10,2016-10-12T13:30:59Z,,Likely Voters - Republican,Internet,77.0,8.0,9.0,6.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26141,http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=7405,Nonpartisan,None,"If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?",1
244,Ipsos/Reuters,2016-10-06,2016-10-10,2016-10-12T13:30:59Z,,Likely Voters - independent,Internet,32.0,24.0,27.0,17.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26141,http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=7405,Nonpartisan,None,"If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?",1
245,Ipsos/Reuters,2016-10-06,2016-10-10,2016-10-12T13:30:59Z,2363.0,Likely Voters,Internet,37.0,44.0,4.0,9.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26141,http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=7405,Nonpartisan,None,"If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?",2
246,Ipsos/Reuters,2016-10-06,2016-10-10,2016-10-12T13:30:59Z,,Likely Voters - Democrat,Internet,10.0,79.0,3.0,4.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26141,http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=7405,Nonpartisan,None,"If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?",2
247,Ipsos/Reuters,2016-10-06,2016-10-10,2016-10-12T13:30:59Z,,Likely Voters - Republican,Internet,77.0,8.0,4.0,6.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26141,http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=7405,Nonpartisan,None,"If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?",2
248,Ipsos/Reuters,2016-10-06,2016-10-10,2016-10-12T13:30:59Z,,Likely Voters - independent,Internet,31.0,23.0,16.0,15.0,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26141,http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=7405,Nonpartisan,None,"If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?",2
249,Rasmussen,2016-10-06,2016-10-10,2016-10-11T12:57:35Z,,Likely Voters - Democrat,IVR/Online,11.0,80.0,4.0,1.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-26087,http://www.rasmussenreports.com/public_content/politics/elections/election_2016/white_house_watch_oct11,Nonpartisan,None,"If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?",1
250,Rasmussen,2016-10-06,2016-10-10,2016-10-11T12:57:35Z,,Likely Voters - Republican,IVR/Online,69.0,17.0,4.0,4.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-26087,http://www.rasmussenreports.com/public_content/politics/elections/election_2016/white_house_watch_oct11,Nonpartisan,None,"If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?",1
251,Rasmussen,2016-10-06,2016-10-10,2016-10-11T12:57:35Z,,Likely Voters - independent,IVR/Online,39.0,29.0,12.0,7.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-26087,http://www.rasmussenreports.com/public_content/politics/elections/election_2016/white_house_watch_oct11,Nonpartisan,None,"If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?",1
252,Pew,2016-09-27,2016-10-10,2016-10-14T17:16:57Z,3616.0,Registered Voters,Live Phone,39.0,46.0,5.0,0.0,http://elections.huffingtonpost.com/pollster/polls/pew-26176,http://www.people-press.org/2016/10/14/in-presidential-contest-voters-say-basic-facts-not-just-policies-are-in-dispute/,Nonpartisan,None,,1
253,Public Religion Research Institute/The Atlantic,2016-10-05,2016-10-09,2016-10-11T12:49:41Z,886.0,Likely Voters,Live Phone,38.0,49.0,4.0,8.0,http://elections.huffingtonpost.com/pollster/polls/public-religion-research-institute-the-atlantic-26086,http://www.prri.org/research/prri-atlantic-october-11-2016-presidential-election-horserace-clinton-trump/,Nonpartisan,None,,1
254,UPI/CVOTER,2016-10-03,2016-10-09,2016-10-10T17:56:49Z,1350.0,Likely Voters,Internet,44.0,50.0,6.0,,http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26076,http://www.upi.com/Top_News/US/2016/10/10/UPICVoter-poll-Hillary-Clinton-pulls-into-5-point-lead-over-Donald-Trump/7301476105358/?spt=hts&or=1,Nonpartisan,None,,1
255,NBC/SurveyMonkey,2016-10-03,2016-10-09,2016-10-10T12:17:04Z,23329.0,Likely Voters,Internet,44.0,51.0,,5.0,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-26017,https://www.scribd.com/document/327007811/NBC-News-SurveyMonkey-Toplines-and-Methodology-10-3-10-9,Nonpartisan,None,"If the 2016 presidential election were being held today among the following candidates, for whom would you vote?",1
256,NBC/SurveyMonkey,2016-10-03,2016-10-09,2016-10-10T12:17:04Z,23329.0,Likely Voters,Internet,41.0,46.0,3.0,2.0,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-26017,https://www.scribd.com/document/327007811/NBC-News-SurveyMonkey-Toplines-and-Methodology-10-3-10-9,Nonpartisan,None,If the 2016 presidential election were being held today among the following candidates for whom would you vote?,2
257,Politico/Morning Consult,2016-10-08,2016-10-08,2016-10-09T14:30:16Z,1390.0,Likely Voters,Internet,41.0,45.0,,14.0,http://elections.huffingtonpost.com/pollster/polls/politico-morning-consult-26013,https://morningconsult.com/2016/10/09/republican-voters-remain-loyal-trump-first-national-poll-video/,Nonpartisan,None,"If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton and Republican Donald Trump, for whom would you vote?",1
258,Politico/Morning Consult,2016-10-08,2016-10-08,2016-10-09T14:30:16Z,491.0,Likely Voters - Democrat,Internet,6.0,88.0,,6.0,http://elections.huffingtonpost.com/pollster/polls/politico-morning-consult-26013,https://morningconsult.com/2016/10/09/republican-voters-remain-loyal-trump-first-national-poll-video/,Nonpartisan,None,"If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton and Republican Donald Trump, for whom would you vote?",1
259,Politico/Morning Consult,2016-10-08,2016-10-08,2016-10-09T14:30:16Z,480.0,Likely Voters - Republican,Internet,78.0,7.0,,15.0,http://elections.huffingtonpost.com/pollster/polls/politico-morning-consult-26013,https://morningconsult.com/2016/10/09/republican-voters-remain-loyal-trump-first-national-poll-video/,Nonpartisan,None,"If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton and Republican Donald Trump, for whom would you vote?",1
260,Politico/Morning Consult,2016-10-08,2016-10-08,2016-10-09T14:30:16Z,419.0,Likely Voters - independent,Internet,40.0,38.0,,22.0,http://elections.huffingtonpost.com/pollster/polls/politico-morning-consult-26013,https://morningconsult.com/2016/10/09/republican-voters-remain-loyal-trump-first-national-poll-video/,Nonpartisan,None,"If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton and Republican Donald Trump, for whom would you vote?",1
261,Politico/Morning Consult,2016-10-08,2016-10-08,2016-10-09T14:30:16Z,1390.0,Likely Voters,Internet,38.0,42.0,3.0,9.0,http://elections.huffingtonpost.com/pollster/polls/politico-morning-consult-26013,https://morningconsult.com/2016/10/09/republican-voters-remain-loyal-trump-first-national-poll-video/,Nonpartisan,None,"If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton, Republican Donald Trump, Libertarian Gary Johnson, and Green Party candidate Jill Stein, for whom would you vote?",2
262,Politico/Morning Consult,2016-10-08,2016-10-08,2016-10-09T14:30:16Z,491.0,Likely Voters - Democrat,Internet,5.0,87.0,2.0,3.0,http://elections.huffingtonpost.com/pollster/polls/politico-morning-consult-26013,https://morningconsult.com/2016/10/09/republican-voters-remain-loyal-trump-first-national-poll-video/,Nonpartisan,None,"If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton, Republican Donald Trump, Libertarian Gary Johnson, and Green Party candidate Jill Stein, for whom would you vote?",2
263,Politico/Morning Consult,2016-10-08,2016-10-08,2016-10-09T14:30:16Z,480.0,Likely Voters - Republican,Internet,74.0,7.0,1.0,12.0,http://elections.huffingtonpost.com/pollster/polls/politico-morning-consult-26013,https://morningconsult.com/2016/10/09/republican-voters-remain-loyal-trump-first-national-poll-video/,Nonpartisan,None,"If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton, Republican Donald Trump, Libertarian Gary Johnson, and Green Party candidate Jill Stein, for whom would you vote?",2
264,Politico/Morning Consult,2016-10-08,2016-10-08,2016-10-09T14:30:16Z,419.0,Likely Voters - independent,Internet,35.0,30.0,5.0,14.0,http://elections.huffingtonpost.com/pollster/polls/politico-morning-consult-26013,https://morningconsult.com/2016/10/09/republican-voters-remain-loyal-trump-first-national-poll-video/,Nonpartisan,None,"If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton, Republican Donald Trump, Libertarian Gary Johnson, and Green Party candidate Jill Stein, for whom would you vote?",2
265,YouGov/Economist,2016-10-07,2016-10-08,2016-10-10T14:45:15Z,1135.0,Registered Voters,Internet,38.0,44.0,4.0,9.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-26019,https://today.yougov.com/news/2016/10/09/yougoveconomist-poll-october-7-8-2016/,Nonpartisan,None,"If the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, Donald Trump, the Republican, Gary Johson, the Libertarian, and Jill Stein, from the Green Party, who would you vote for?",1
266,YouGov/Economist,2016-10-07,2016-10-08,2016-10-10T14:45:15Z,454.0,Registered Voters - Democrat,Internet,6.0,87.0,2.0,4.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-26019,https://today.yougov.com/news/2016/10/09/yougoveconomist-poll-october-7-8-2016/,Nonpartisan,None,"If the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, Donald Trump, the Republican, Gary Johson, the Libertarian, and Jill Stein, from the Green Party, who would you vote for?",1
267,YouGov/Economist,2016-10-07,2016-10-08,2016-10-10T14:45:15Z,317.0,Registered Voters - Republican,Internet,81.0,3.0,4.0,5.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-26019,https://today.yougov.com/news/2016/10/09/yougoveconomist-poll-october-7-8-2016/,Nonpartisan,None,"If the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, Donald Trump, the Republican, Gary Johson, the Libertarian, and Jill Stein, from the Green Party, who would you vote for?",1
268,YouGov/Economist,2016-10-07,2016-10-08,2016-10-10T14:45:15Z,364.0,Registered Voters - independent,Internet,35.0,36.0,5.0,16.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-26019,https://today.yougov.com/news/2016/10/09/yougoveconomist-poll-october-7-8-2016/,Nonpartisan,None,"If the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, Donald Trump, the Republican, Gary Johson, the Libertarian, and Jill Stein, from the Green Party, who would you vote for?",1
269,Lucid/The Times-Picayune,2016-10-05,2016-10-07,2016-10-26T18:59:01Z,533.0,Likely Voters,Internet,36.0,46.0,2.0,10.0,http://elections.huffingtonpost.com/pollster/polls/lucid-the-times-picayune-26462,https://luc.id/2016-presidential-tracker/,Nonpartisan,None,,1
270,Quinnipiac,2016-10-05,2016-10-06,2016-10-07T16:24:01Z,1064.0,Likely Voters,Live Phone,40.0,45.0,3.0,4.0,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-25995,http://www.qu.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2386,Nonpartisan,None,"If the presidential election were being held today, and the candidates were Hillary Clinton and Tim Kaine the Democrats, Donald Trump and Mike Pence the Republicans, Gary Johnson and Bill Weld the Libertarians, and Jill Stein and Ajamu Baraka the Green party candidates, for whom would you vote?",1
271,Quinnipiac,2016-10-05,2016-10-06,2016-10-07T16:24:01Z,,Likely Voters - Democrat,Live Phone,3.0,89.0,3.0,2.0,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-25995,http://www.qu.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2386,Nonpartisan,None,"If the presidential election were being held today, and the candidates were Hillary Clinton and Tim Kaine the Democrats, Donald Trump and Mike Pence the Republicans, Gary Johnson and Bill Weld the Libertarians, and Jill Stein and Ajamu Baraka the Green party candidates, for whom would you vote?",1
272,Quinnipiac,2016-10-05,2016-10-06,2016-10-07T16:24:01Z,,Likely Voters - Republican,Live Phone,87.0,5.0,1.0,2.0,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-25995,http://www.qu.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2386,Nonpartisan,None,"If the presidential election were being held today, and the candidates were Hillary Clinton and Tim Kaine the Democrats, Donald Trump and Mike Pence the Republicans, Gary Johnson and Bill Weld the Libertarians, and Jill Stein and Ajamu Baraka the Green party candidates, for whom would you vote?",1
273,Quinnipiac,2016-10-05,2016-10-06,2016-10-07T16:24:01Z,,Likely Voters - independent,Live Phone,32.0,46.0,8.0,4.0,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-25995,http://www.qu.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2386,Nonpartisan,None,"If the presidential election were being held today, and the candidates were Hillary Clinton and Tim Kaine the Democrats, Donald Trump and Mike Pence the Republicans, Gary Johnson and Bill Weld the Libertarians, and Jill Stein and Ajamu Baraka the Green party candidates, for whom would you vote?",1
274,Rasmussen,2016-10-04,2016-10-06,2016-10-07T12:57:13Z,1500.0,Likely Voters,IVR/Online,42.0,43.0,4.0,4.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-25993,http://www.rasmussenreports.com/platinum/historical_data/election_2016_white_house_watch_trends,Nonpartisan,None,"If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?",1
275,FOX,2016-10-03,2016-10-06,2016-10-07T22:38:33Z,896.0,Likely Voters,Live Phone,42.0,44.0,3.0,5.0,http://elections.huffingtonpost.com/pollster/polls/fox-25998,http://www.foxnews.com/politics/interactive/2016/10/07/fox-news-poll-results-clinton-edges-trump-by-two-points-one-month-ahead/,Nonpartisan,None,,1
276,FOX,2016-10-03,2016-10-06,2016-10-07T22:38:33Z,,Likely Voters - Democrat,Live Phone,3.0,87.0,4.0,3.0,http://elections.huffingtonpost.com/pollster/polls/fox-25998,http://www.foxnews.com/politics/interactive/2016/10/07/fox-news-poll-results-clinton-edges-trump-by-two-points-one-month-ahead/,Nonpartisan,None,,1
277,FOX,2016-10-03,2016-10-06,2016-10-07T22:38:33Z,,Likely Voters - Republican,Live Phone,84.0,4.0,1.0,5.0,http://elections.huffingtonpost.com/pollster/polls/fox-25998,http://www.foxnews.com/politics/interactive/2016/10/07/fox-news-poll-results-clinton-edges-trump-by-two-points-one-month-ahead/,Nonpartisan,None,,1
278,FOX,2016-10-03,2016-10-06,2016-10-07T22:38:33Z,,Likely Voters - independent,Live Phone,39.0,35.0,8.0,7.0,http://elections.huffingtonpost.com/pollster/polls/fox-25998,http://www.foxnews.com/politics/interactive/2016/10/07/fox-news-poll-results-clinton-edges-trump-by-two-points-one-month-ahead/,Nonpartisan,None,,1
279,Rasmussen,2016-10-03,2016-10-05,2016-10-07T12:55:51Z,,Likely Voters - Democrat,IVR/Online,15.0,77.0,3.0,2.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-25992,http://www.rasmussenreports.com/platinum/historical_data/election_2016_white_house_watch_trends,Nonpartisan,None,"If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?",1
280,Rasmussen,2016-10-03,2016-10-05,2016-10-07T12:55:51Z,,Likely Voters - Republican,IVR/Online,77.0,12.0,2.0,4.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-25992,http://www.rasmussenreports.com/platinum/historical_data/election_2016_white_house_watch_trends,Nonpartisan,None,"If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?",1
281,Rasmussen,2016-10-03,2016-10-05,2016-10-07T12:55:51Z,,Likely Voters - independent,IVR/Online,40.0,28.0,9.0,5.0,http://elections.huffingtonpost.com/pollster/polls/rasmussen-25992,http://www.rasmussenreports.com/platinum/historical_data/election_2016_white_house_watch_trends,Nonpartisan,None,"If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?",1
282,Lucid/The Times-Picayune,2016-10-02,2016-10-04,2016-10-26T18:56:58Z,451.0,Likely Voters,Internet,37.0,45.0,3.0,9.0,http://elections.huffingtonpost.com/pollster/polls/lucid-the-times-picayune-26459,https://luc.id/2016-presidential-tracker/,Nonpartisan,None,,1
283,YouGov/Economist,2016-10-01,2016-10-03,2016-10-03T22:22:03Z,1055.0,Registered Voters,Internet,40.0,43.0,5.0,7.0,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-25893,https://today.yougov.com/news/2016/10/03/yougoveconomist-poll-october-1-3-2016/,Nonpartisan,None,"If the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, Donald Trump, the Republican, Gary Johson, the Libertarian, and Jill Stein, from the Green Party, who would you vote for?",1
